day,hours
28/11/2019,2.5
3/12/2019/3
5/12/2019,1.5
22/12/2019,1
24/12/2019,7
25/12/2019,2
26/12/2019,5
28/12/2019,6
30/12/2019,3
31/01/2020,1
05/01/2019,1
11/01/2019,1.5
12/01/2019,1.5 
15/01/2019,1
16/01/2019,1
